symbol,qty,current_price,market_value,weight_pct
GLD,51,413.0,21063.0,22.04990524916089
ENSG,23,209.91,4827.93,5.054142289777398
EQIX,4,1079.8,4319.2,4.521575784654404
CNXN,52,65.41,3401.32,3.5606885876691794
WCN,21,153.23,3217.83,3.368601177795536
HSY,17,185.0,3145.0,3.2923587337326587
WMK,43,71.91,3092.13,3.237011513938559
AMZN,11,265.11,2916.21,3.0528487958341866
TMHC,44,62.38,2744.72,2.873323645039969
ELV,7,390.0,2730.0,2.8579139405692082
LZB,75,34.79,2609.25,2.731506208582493
DPZ,8,310.6,2484.8,2.601225113379622
NGVC,94,25.21,2369.74,2.480773985906401
MGPI,127,18.29,2322.83,2.431666021455082
ADBE,9,240.18,2161.62,2.262902539272239
DECK,19,107.47,2041.93,2.137604473504206
FRHC,15,132.0,1980.0,2.0727727481051397
VC,18,103.65,1865.7,1.953117230373616
BJRI,50,35.15,1757.5,1.8398475276741328
BLDR,23,73.86,1698.78,1.778376206578813
GAP,73,23.0,1679.0,1.7576694161962274
TLT,19,85.29,1620.51,1.6964388717332628
ATLC,18,89.15,1604.7,1.6798880953961204
IEF,17,94.29,1602.93,1.678035162181905
FTNT,12,132.7,1592.4,1.6670117798397097
TIP,14,112.16,1570.24,1.6438134747397044
STM,22,70.88,1559.36,1.632423693174359
SPY,2,751.08,1502.16,1.5725435915624328
DBC,50,29.99,1499.5,1.5697589574664934
CNC,25,58.1,1452.5,1.5205567760720786
PLAB,25,55.01,1375.25,1.4396872332482795
NICE,14,93.99,1315.86,1.377514519354358
NSIT,15,83.75,1256.25,1.3151114973773141
GO,139,8.23,1143.97,1.1975706265908266
APEI,30,37.8,1134.0,1.187133483005671
TSEM,3,288.7,866.1,0.9066810490575059
